"PLAYER_NAME";"TEAM_ABBREVIATION";"AGE";"PTS";"AST";"REB";"OREB";"DREB";"TOV";"STL";"BLK";"FG_PCT";"FG3_PCT";"FT_PCT";"Peso";"Altura";"Position"
"Tim Hardaway Jr.";"DAL";30;17,3;2,7;4,5;0,4;4,1;1;1,1;0,2;0,394;0,336;0,757;92,98636;1,9558;"SG"
"Timothe Luwawu-Cabarrot";"ATL";27;11,9;2,1;4,3;0,9;3,4;1,1;0,9;0,3;0,398;0,361;0,854;97,52228;2,0066;"SF"
"Tobias Harris";"PHI";29;17,8;3,6;7;1,1;5,9;1,6;0,7;0,6;0,482;0,367;0,842;102,511792;2,032;"PF"
"Tomas Satoransky";"WAS";30;7,9;7,3;5;1,1;3,9;1,8;1,2;0,2;0,377;0,208;0,796;95,25432;2,0066;"SG"
"Tony Bradley";"CHI";24;10,7;1,8;12,2;4,4;7,8;2,2;0,7;2,2;0,585;0;0,655;112,490816;2,0828;"C"
"Tony Snell";"NOP";30;8,2;1,2;4,5;0,7;3,8;0,8;0,7;0,4;0,404;0,352;1;96,615096;1,9812;"SG"
"Torrey Craig";"PHX";31;11,6;2,1;7;1,9;5,1;1,5;1;0,8;0,454;0,329;0,75;100,243832;1,9558;"SF"
"Trae Young";"ATL";23;29,3;10;3,9;0,7;3,2;4,1;1;0,1;0,46;0,382;0,904;74,389088;1,8796;"PG"
"Trayvon Palmer";"DET";27;0;0;4,3;0;4,3;2,1;0;0;0;0;0;90,7184;1,9812;"SG"
"Tre Jones";"SAS";22;12,9;7,3;4,9;0,9;4;1,4;1,3;0,2;0,49;0,196;0,78;86,18248;1,8542;"PG"
"Tre Mann";"OKC";21;16,5;2,4;4,5;0,7;3,8;1,9;1,2;0,3;0,393;0,36;0,793;80,739376;1,9304;"PG"
"Tremont Waters";"WAS";24;7,2;5;2,9;0;2,9;2,9;3,6;0;0,286;0,222;0;79,3786;1,778;"PG"
"Trendon Watford";"POR";21;15,1;3,4;8,2;2,4;5,9;1,8;1;1,2;0,532;0,237;0,755;107,501304;2,032;"SF"
"Trent Forrest";"UTA";24;9,2;5;4,7;1,1;3,6;2,3;1,4;0,3;0,49;0,185;0,792;95,25432;1,9304;"PG"
"Trevelin Queen";"HOU";25;20,8;1,9;7,7;3,4;4,4;3,4;2,4;0,5;0,455;0,375;1;86,18248;1,9558;"SG"
"Trevon Scott";"CLE";25;19;0;6,3;3,2;3,2;0;3,2;3,2;0,5;0;0;102,0582;2,032;"SF"
"Trevor Ariza";"LAL";37;7,5;2,1;6,4;0,8;5,6;0,9;1;0,5;0,333;0,27;0,556;97,52228;2,032;"SF"
